date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
07:19:14	22226/22226	---MCZ	200	added ('OK')	text/html	etag:%226dc017fef7469fd5c9a69a8dcf4c568e-ssl-df%22	https://js-786-assignments.netlify.app/index.html	D:/Web%20Development/twitter-clone/js/js-786-assignments.netlify.app/index.html	(from )
07:19:14	1449/1449	---MCZ	404	error ('Not%20Found')	text/html	etag:1652180086-ssl-df	https://js-786-assignments.netlify.app/robots.txt		(from )
07:19:15	2209/2209	---M--	200	added ('OK')	image/png	etag:%22bbb4bbaf074f481ee3bbbc56431a2440-ssl%22	https://js-786-assignments.netlify.app/assests/img/favicon.png	D:/Web%20Development/twitter-clone/js/js-786-assignments.netlify.app/assests/img/favicon.png	(from https://js-786-assignments.netlify.app/index.html)
07:19:16	3202/3202	---M-Z	200	added ('OK')	text/css	etag:%224a34e512bcf323c5449da0f89c4ddfff-ssl-df%22	https://js-786-assignments.netlify.app/style.css	D:/Web%20Development/twitter-clone/js/js-786-assignments.netlify.app/style.css	(from https://js-786-assignments.netlify.app/index.html)
07:19:16	100782/100782	---M-Z	200	added ('OK')	text/css	etag:%22623a082a-4ef8%22	https://cdnjs.cloudflare.com/ajax/libs/font-awesome/6.1.1/css/all.min.css	D:/Web%20Development/twitter-clone/js/cdnjs.cloudflare.com/ajax/libs/font-awesome/6.1.1/css/all.min.css	(from https://js-786-assignments.netlify.app/index.html)
07:19:17	30980/30980	---M--	200	added ('OK')	image/png	etag:%22f22c1a470ecb6ce321e40ec68347499d-ssl%22	https://js-786-assignments.netlify.app/assests/img/task5.png	D:/Web%20Development/twitter-clone/js/js-786-assignments.netlify.app/assests/img/task5.png	(from https://js-786-assignments.netlify.app/index.html)
07:19:18	2318/2318	---MC-	301	error ('Moved%20Permanently')	text/html	etag:%227003c5142b1db7bdd6f06882f480fd05-ssl-df%22	https://js-786-assignments.netlify.app/Salt-Peper-website/index.html	D:/Web%20Development/twitter-clone/js/js-786-assignments.netlify.app/Salt-Peper-website/index.5.delayed	(from https://js-786-assignments.netlify.app/index.html)
07:19:19	12355/12355	---MCZ	200	added ('OK')	text/html	etag:%227003c5142b1db7bdd6f06882f480fd05-ssl-df%22	https://js-786-assignments.netlify.app/salt-peper-website/	D:/Web%20Development/twitter-clone/js/js-786-assignments.netlify.app/salt-peper-website/index.html	(from https://js-786-assignments.netlify.app/index.html)
07:19:19	2805/2805	---M--	200	added ('OK')	image/png	etag:%22e99e95e3ed5dc8f5ba59a97f1e768fc9-ssl%22	https://js-786-assignments.netlify.app/assests/img/q1.PNG	D:/Web%20Development/twitter-clone/js/js-786-assignments.netlify.app/assests/img/q1.png	(from https://js-786-assignments.netlify.app/index.html)
07:19:20	2844/2844	---M--	200	added ('OK')	image/png	etag:%2234e0f39eaa20aa9889850ae6cb23460f-ssl%22	https://js-786-assignments.netlify.app/assests/img/q2.png	D:/Web%20Development/twitter-clone/js/js-786-assignments.netlify.app/assests/img/q2.png	(from https://js-786-assignments.netlify.app/index.html)
